iter	Passed	Remaining
402	12708	18826
403	12736	18789
404	12767	18757
405	12796	18722
406	12831	18695
407	12862	18663
408	12891	18628
409	12926	18601
410	12956	18567
411	12989	18538
412	13018	18503
413	13050	18472
414	13082	18442
415	13113	18409
416	13138	18369
417	13166	18331
418	13194	18296
419	13220	18256
420	13243	18213
421	13269	18174
422	13301	18143
423	13334	18114
424	13362	18079
425	13396	18050
426	13436	18030
427	13479	18014
428	13517	17991
429	13555	17968
430	13595	17948
431	13635	17928
432	13671	17902
433	13709	17879
434	13735	17840
435	13763	17804
436	13789	17764
437	13824	17738
438	13851	17700
439	13883	17669
440	13911	17633
441	13938	17597
442	13963	17556
443	13989	17518
444	14018	17483
445	14047	17449
446	14076	17413
447	14106	17381
448	14132	17342
449	14157	17303
450	14184	17267
451	14207	17225
452	14232	17185
453	14258	17148
454	14284	17109
455	14321	17084
456	14348	17048
457	14376	17012
458	14403	16976
459	14428	16937
460	14456	16902
461	14484	16867
462	14511	16831
463	14536	16792
464	14566	16759
465	14591	16720
466	14617	16682
467	14642	16645
468	14670	16610
469	14695	16571
470	14720	16533
471	14747	16496
472	14772	16458
473	14804	16428
474	14832	16393
475	14859	16357
476	14886	16321
477	14912	16285
478	14938	16248
479	14965	16212
480	14992	16177
481	15019	16141
482	15047	16106
483	15076	16073
484	15107	16042
485	15134	16006
486	15161	15970
487	15190	15937
488	15218	15903
489	15245	15868
490	15274	15834
491	15300	15798
492	15328	15763
493	15356	15729
494	15383	15693
495	15410	15658
496	15437	15624
497	15464	15588
498	15500	15562
499	15534	15534
500	15573	15511
501	15610	15486
502	15655	15468
503	15687	15438
504	15718	15406
505	15751	15378
506	15779	15343
507	15808	15310
508	15833	15273
509	15865	15243
510	15910	15225
511	15950	15202
512	15989	15178
513	16023	15150
514	16067	15131
515	16110	15111
516	16140	15079
517	16170	15047
518	16197	15011
519	16225	14977
520	16258	14947
521	16291	14918
522	16322	14886
523	16352	14854
524	16382	14822
525	16412	14789
526	16439	14754
527	16466	14719
528	16497	14689
529	16523	14653
530	16549	14617
531	16574	14580
532	16603	14547
533	16630	14513
534	16655	14476
535	16682	14441
536	16708	14405
537	16732	14368
538	16761	14336
539	16791	14303
540	16817	14268
541	16842	14232
542	16870	14198
543	16897	14164
544	16922	14127
545	16950	14094
546	16975	14058
547	17009	14029
548	17047	14004
549	17084	13978
550	17109	13942
551	17134	13906
552	17166	13875
553	17195	13843
554	17239	13822
555	17281	13800
556	17322	13777
557	17357	13749
558	17400	13727
559	17447	13708
560	17488	13685
561	17515	13650
562	17542	13616
563	17573	13585
564	17601	13551
565	17634	13521
566	17664	13490
567	17693	13457
568	17722	13424
569	17748	13388
