iter	Logloss
0	0.6518641282
1	0.6167289849
2	0.58631579
3	0.5624132945
4	0.5357486115
5	0.5153445858
6	0.4959694723
7	0.4756137298
8	0.4562603471
9	0.440188898
10	0.4275288477
11	0.4142036224
12	0.4034121212
13	0.3909150649
14	0.381295751
15	0.3736669293
16	0.3662388432
17	0.3574871737
18	0.3510301265
19	0.3434278845
20	0.3361801327
21	0.331019154
22	0.324987933
23	0.320653886
24	0.3153829876
25	0.3111756331
26	0.3068262538
27	0.3036664665
28	0.3008062063
29	0.2980189066
30	0.2952449036
31	0.2919254721
32	0.32	0.29124633	0.33	0.28834834	0.34	0.28481935	0.35	0.28247436	0.36	0.28089737	0.37	0.27935738	0.38	0.27769939	0.39	0.27556640	0.40	0.27311741	0.41	0.27059342	0.42	0.26907143	0.43	0.2675790144
44	0.266531146
45	0.2651607802
46	0.2633233814
47	0.262436991
48	0.2616822964
49	0.2606911007
50	0.2589092516
51	0.2575296189
52	0.2567991741
53	0.2553103494
54	0.2540807864
55	0.2534742167
56	0.2526517168
57	0.2518054132
58	0.2512020755
59	0.2502492837
60	0.2494394794
61	0.2487448644
62	0.2469173923
63	0.2454643621
64	0.2442295965
65	0.2431660638
66	0.2417814646
67	0.2407396932
68	0.2399679134
69	0.239612708
70	0.2387577656
71	0.2380656299
72	0.2376570496
73	0.2369397953
74	0.2360016915
75	0.2357840045
76	0.2354324084
77	0.2348144967
78	0.2343868502
79	0.2340756433
80	0.2330165923
81	0.2326817728
82	0.2322451484
83	0.2318354243
84	0.2316279266
85	0.2314634134
86	0.2307114552
87	0.229916782
88	0.2295783937
89	0.2293477553
90	0.2289629481
91	0.2288015062
92	0.2284531872
93	0.2281909753
94	0.2279711925
95	0.227422897
96	0.2271880857
97	0.2268399934
98	0.2265828418
99	0.2262171326
100	0.225913602
101	0.2257224059
102	0.2255522744
103	0.225270593
104	0.2250741688
105	0.2248100342
106	0.2242061348
107	0.2240730223
108	0.2236424863
109	0.2234177125
110	0.2230636089
111	0.2228655029
112	0.2224476056
113	0.222072342
114	0.2216700003
115	0.2215316655
116	0.2213747975
117	0.2211056551
118	0.2209747597
119	0.2201947996
120	0.2200520457
121	0.2196084361
122	0.2189616415
123	0.2187816089
124	0.2186527658
125	0.217902585
126	0.2178282691
127	0.2176586194
128	0.2175504822
129	0.2174546224
130	0.2173484491
131	0.2172754368
132	0.217122797
133	0.2169365512
134	0.2168225259
135	0.2167441145
136	0.2165446107
137	0.2162182726
138	0.2160630253
139	0.2158637451
140	0.2157138569
141	0.2155934172
142	0.2153582536
143	0.2147892186
144	0.2144778752
145	0.2143651487
146	0.2142472488
147	0.21411257
148	0.2136329381
149	0.2135356448
150	0.2134456402
151	0.2130703442
152	0.2127954626
153	0.2126765611
154	0.2123149115
155	0.2122065266
156	0.2121433177
157	0.2119726861
158	0.2117915868
159	0.2117239946
160	0.2115779329
161	0.2114792154
162	0.2113810615
163	0.2113201029
164	0.2110571981
165	0.2108140405
166	0.2106904304
167	0.2105717867
168	0.2104050685
169	0.21024853
170	0.2098880652
171	0.2097443125
172	0.2096366421
173	0.2095159806
174	0.2094588064
175	0.2092732059
176	0.2092315705
177	0.2090604459
178	0.2089561105
179	0.2088499897
180	0.2086143294
181	0.2084885534
